#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6,11065,1,Zephyr2,-0.3,3,   boost,-0.98,101561,-19.63,0.17,0,38.3,0,0,4.18,9.94,-0.59,0.22,-2.29,0.39,0.28,-0.4,0.1,0.3,2.51,4.19,0,0,4.17,0,1,1,11,27.9333534,-80.709537,10,2025,4,12,19,30,38,0,0,0,0,1.5,0.8,1.2,0,0,0,0,39,0,0,0,0,0,35,38,0,31,0,0,32,0,28,37,0,33,0,37,32,0,0,0,0,0,0,0
6,11065,1,Zephyr2,-0.29,3,   boost,0.98,101562,-19.71,0.08,0,38.3,0,0,4.18,9.82,-0.31,0.19,-2.53,0.57,0.53,-0.4,0.1,0.29,2.51,4.19,0,0,4.17,0,1,1,11,27.9333534,-80.709537,10,2025,4,12,19,30,38,0,0,0,0,1.5,0.8,1.2,0,0,0,0,39,0,0,0,0,0,35,38,0,31,0,0,32,0,28,37,0,33,0,37,32,0,0,0,0,0,0,0
6,11065,1,Zephyr2,-0.28,3,   boost,-0.49,101562,-19.71,0.08,0,38.3,0,0,4.18,9.91,-0.5,0.13,-2.23,0.08,0.59,-0.4,0.1,0.29,2.51,4.19,0,0,4.17,0,1,1,11,27.9333534,-80.709537,10,2025,4,12,19,30,38,0,0,0,0,1.5,0.8,1.2,0,0,0,0,39,0,0,0,0,0,35,38,0,31,0,0,32,0,28,37,0,33,0,37,32,0,0,0,0,0,0,0
6,11065,1,Zephyr2,-0.27,3,   boost,-0.98,101550,-18.71,1.08,0,38.3,0,0,4.18,9.71,-0.4,0.22,-2.29,0.39,0.34,-0.4,0.1,0.3,2.51,4.19,0,0,4.17,0,1,1,11,27.9333534,-80.709537,10,2025,4,12,19,30,38,0,0,0,0,1.5,0.8,1.2,0,0,0,0,39,0,0,0,0,0,35,38,0,31,0,0,32,0,28,37,0,33,0,37,32,0,0,0,0,0,0,0
6,11065,1,Zephyr2,-0.26,3,   boost,0,101550,-18.71,1.08,0,38.3,0,0,4.18,9.9,-0.37,0.14,-2.72,0.39,0.47,-0.4,0.1,0.3,2.51,4.19,0,0,4.17,0,1,1,11,27.9333534,-80.709537,10,2025,4,12,19,30,38,0,0,0,0,1.5,0.8,1.2,0,0,0,0,39,0,0,0,0,0,35,38,0,31,0,0,32,0,28,37,0,33,0,37,32,0,0,0,0,0,0,0
6,11065,1,Zephyr2,-0.25,3,   boost,0,101554,-19.05,0.75,0,38.3,0,0,4.18,9.71,-0.47,0.11,-2.66,0.2,0.59,-0.4,0.1,0.29,2.51,4.19,0,0,4.17,0,1,1,11,27.9333534,-80.709537,10,2025,4,12,19,30,38,0,0,0,0,1.5,0.8,1.2,0,0,0,0,39,0,0,0,0,0,35,38,0,31,0,0,32,0,28,37,0,33,0,37,32,0,0,0,0,0,0,0
6,11065,1,Zephyr2,-0.24,3,   boost,0.98,101554,-19.05,0.75,0,38.3,0,0,4.18,9.99,-0.45,0.16,-2.72,0.51,0.65,-0.4,0.1,0.29,2.51,4.19,0,0,4.17,0,1,1,11,27.9333534,-80.709537,10,2025,4,12,19,30,38,0,0,0,0,1.5,0.8,1.2,0,0,0,0,39,0,0,0,0,0,35,38,0,31,0,0,32,0,28,37,0,33,0,37,32,0,0,0,0,0,0,0
6,11065,1,Zephyr2,-0.23,3,   boost,-0.98,101565,-19.96,-0.17,0,38.3,0,0,4.18,9.76,-0.47,0.02,-3.33,0.51,0.89,-0.4,0.1,0.29,2.51,4.19,0,0,4.17,0,1,1,11,27.9333534,-80.709537,10,2025,4,12,19,30,38,0,0,0,0,1.5,0.8,1.2,0,0,0,0,39,0,0,0,0,0,35,38,0,31,0,0,32,0,28,37,0,33,0,37,32,0,0,0,0,0,0,0
6,11065,1,Zephyr2,-0.22,3,   boost,0,101565,-19.96,-0.17,0,38.3,0,0,4.18,9.96,-0.5,0.22,-3.02,0.45,0.4,-0.4,0.1,0.29,2.51,4.19,0,0,4.17,0,1,1,11,27.9333534,-80.709537,10,2025,4,12,19,30,38,0,0,0,0,1.5,0.8,1.2,0,0,0,0,39,0,0,0,0,0,35,38,0,31,0,0,32,0,28,37,0,33,0,37,32,0,0,0,0,0,0,0
6,11065,1,Zephyr2,-0.21,3,   boost,-0.49,101563,-19.79,0,0,38.3,0,0,4.18,9.77,-0.39,0.09,-3.33,0.63,0.47,-0.4,0.1,0.29,2.51,4.19,0,0,4.17,0,1,1,11,27.9333534,-80.709537,10,2025,4,12,19,30,38,0,0,0,0,1.5,0.8,1.2,0,0,0,0,39,0,0,0,0,0,35,38,0,31,0,0,32,0,28,37,0,33,0,37,32,0,0,0,0,0,0,0
